﻿Χρόνος Γένεσης (GMT),Γεωγρ.Πλάτος,Γεωγρ.Μήκος,Βάθος (χμ),Μέγεθος (ML),Επίκεντρο,Απόσταση (χμ) από το κέντρο (Γ.Πλ.:35.1571  Γ.Μήκ.:25.2483)
﻿2021/10/21 08:12:56,35.13,25.25,15,4.5,24.0 χμ ΝΝΑ του Ηρακλείου,2.6
﻿2021/10/21 08:04:32,35.13,25.25,16,3.7,23.8 χμ ΝΝΑ του Ηρακλείου,2.7
﻿2021/10/21 06:55:12,35.17,25.22,12,3.2,18.8 χμ ΝΝΑ του Ηρακλείου,3.0
﻿2021/10/21 06:08:09,35.16,25.33,6,2.6,25.9 χμ ΝΑ του Ηρακλείου,7.9
﻿2021/10/21 05:53:03,35.17,25.32,6,2.1,24.3 χμ ΝΑ του Ηρακλείου,6.2
﻿2021/10/21 05:10:15,35.14,25.19,8,2.5,20.8 χμ ΝΝΑ του Ηρακλείου,5.4
﻿2021/10/21 04:29:22,35.17,25.28,9,2.1,21.4 χμ ΝΑ του Ηρακλείου,3.2
﻿2021/10/21 04:08:06,35.16,25.25,12,2.2,21.6 χμ ΝΝΑ του Ηρακλείου,0.3
﻿2021/10/21 03:58:24,35.14,25.24,11,1.6,22.7 χμ ΝΝΑ του Ηρακλείου,2.0
﻿2021/10/21 03:07:05,35.18,25.32,11,1.9,23.5 χμ ΝΑ του Ηρακλείου,6.7
﻿2021/10/21 02:59:02,35.15,25.18,7,1.4,20.0 χμ ΝΝΑ του Ηρακλείου,6.3
﻿2021/10/21 02:40:05,35.16,25.25,11,1.7,21.7 χμ ΝΝΑ του Ηρακλείου,0.6
﻿2021/10/21 02:39:30,35.15,25.20,14,1.4,20.8 χμ ΝΝΑ του Ηρακλείου,4.9
﻿2021/10/21 02:03:27,35.18,25.33,6,1.0,24.3 χμ ΝΑ του Ηρακλείου,7.5
﻿2021/10/21 01:03:23,35.15,25.19,7,1.8,20.3 χμ ΝΝΑ του Ηρακλείου,5.7
﻿2021/10/21 00:45:14,35.17,25.32,7,1.4,24.0 χμ ΝΑ του Ηρακλείου,6.4
﻿2021/10/21 00:44:38,35.16,25.32,8,1.7,24.8 χμ ΝΑ του Ηρακλείου,6.1
﻿2021/10/20 23:40:26,35.15,25.22,13,2.6,21.4 χμ ΝΝΑ του Ηρακλείου,2.4
﻿2021/10/20 23:18:49,35.13,25.22,11,2.4,22.9 χμ ΝΝΑ του Ηρακλείου,3.9
﻿2021/10/20 22:39:53,35.20,25.31,7,2.1,21.3 χμ ΝΑ του Ηρακλείου,7.2
﻿2021/10/20 22:09:07,35.16,25.33,10,1.5,26.2 χμ ΝΑ του Ηρακλείου,7.5
﻿2021/10/20 21:37:33,35.17,25.30,10,1.8,23.7 χμ ΝΑ του Ηρακλείου,5.1
﻿2021/10/20 21:27:33,35.18,25.32,17,2.5,23.7 χμ ΝΑ του Ηρακλείου,6.9
﻿2021/10/20 21:21:45,35.17,25.31,15,2.8,23.9 χμ ΝΑ του Ηρακλείου,5.5
﻿2021/10/20 21:19:03,35.15,25.20,10,1.7,20.1 χμ ΝΝΑ του Ηρακλείου,4.1
﻿2021/10/20 21:18:06,35.21,25.33,6,1.3,22.4 χμ ΝΑ του Ηρακλείου,9.2
﻿2021/10/20 21:17:56,35.18,25.31,9,1.2,22.8 χμ ΝΑ του Ηρακλείου,6.2
﻿2021/10/20 20:51:02,35.17,25.28,8,1.9,21.9 χμ ΝΑ του Ηρακλείου,3.0
﻿2021/10/20 20:50:04,35.17,25.28,12,2.9,21.6 χμ ΝΑ του Ηρακλείου,3.3
﻿2021/10/20 20:47:02,35.20,25.30,11,2.6,21.2 χμ ΝΑ του Ηρακλείου,6.5
﻿2021/10/20 20:23:29,35.14,25.24,10,2.1,22.5 χμ ΝΝΑ του Ηρακλείου,1.5
﻿2021/10/20 20:17:26,35.19,25.32,12,2.2,23.2 χμ ΝΑ του Ηρακλείου,7.2
﻿2021/10/20 20:09:18,35.17,25.21,14,2.4,19.1 χμ ΝΝΑ του Ηρακλείου,3.7
﻿2021/10/20 19:44:58,35.17,25.31,6,1.3,23.9 χμ ΝΑ του Ηρακλείου,6.1
﻿2021/10/20 18:56:14,35.14,25.23,12,2.0,22.4 χμ ΝΝΑ του Ηρακλείου,2.3
﻿2021/10/20 18:46:56,35.19,25.31,10,1.2,22.0 χμ ΝΑ του Ηρακλείου,6.7
﻿2021/10/20 18:36:45,35.21,25.33,13,1.7,21.8 χμ ΝΑ του Ηρακλείου,9.6
﻿2021/10/20 17:23:19,35.17,25.20,13,1.6,18.5 χμ ΝΝΑ του Ηρακλείου,4.2
﻿2021/10/20 17:03:39,35.17,25.35,6,2.0,26.4 χμ ΝΑ του Ηρακλείου,9.0
﻿2021/10/20 16:36:15,35.13,25.23,10,2.0,23.9 χμ ΝΝΑ του Ηρακλείου,4.0
﻿2021/10/20 16:14:35,35.19,25.25,12,2.2,19.0 χμ ΝΑ του Ηρακλείου,3.1
﻿2021/10/20 15:21:27,35.18,25.20,8,1.7,17.1 χμ ΝΝΑ του Ηρακλείου,5.3
﻿2021/10/20 15:07:24,35.14,25.24,7,3.2,22.8 χμ ΝΝΑ του Ηρακλείου,2.0
﻿2021/10/20 15:06:53,35.15,25.26,9,2.2,23.0 χμ ΝΝΑ του Ηρακλείου,1.5
﻿2021/10/20 14:28:23,35.18,25.27,9,2.2,20.4 χμ ΝΑ του Ηρακλείου,3.5
﻿2021/10/20 13:30:31,35.18,25.32,6,2.2,23.5 χμ ΝΑ του Ηρακλείου,6.9
﻿2021/10/20 12:55:24,35.14,25.21,9,2.8,22.3 χμ ΝΝΑ του Ηρακλείου,4.1
﻿2021/10/20 12:45:06,35.17,25.31,4,2.7,24.2 χμ ΝΑ του Ηρακλείου,6.2
﻿2021/10/20 12:43:52,35.19,25.33,15,2.3,24.0 χμ ΝΑ του Ηρακλείου,8.6
﻿2021/10/20 12:30:58,35.16,25.20,6,2.7,19.5 χμ ΝΝΑ του Ηρακλείου,4.7
﻿2021/10/20 12:25:04,35.19,25.33,8,2.5,23.3 χμ ΝΑ του Ηρακλείου,8.2
﻿2021/10/20 12:21:42,35.14,25.20,14,2.5,21.9 χμ ΝΝΑ του Ηρακλείου,5.3
﻿2021/10/20 12:19:01,35.18,25.32,6,2.2,23.6 χμ ΝΑ του Ηρακλείου,6.8
﻿2021/10/20 12:17:25,35.18,25.32,7,1.6,23.5 χμ ΝΑ του Ηρακλείου,7.3
﻿2021/10/20 10:25:32,35.16,25.31,13,2.5,24.4 χμ ΝΑ του Ηρακλείου,5.6
﻿2021/10/20 09:50:19,35.16,25.33,9,2.6,26.1 χμ ΝΑ του Ηρακλείου,7.5
﻿2021/10/20 09:08:55,35.17,25.31,6,2.3,24.0 χμ ΝΑ του Ηρακλείου,5.8
﻿2021/10/20 08:47:25,35.18,25.31,8,1.4,22.5 χμ ΝΑ του Ηρακλείου,6.0
﻿2021/10/20 08:12:51,35.16,25.31,13,2.8,24.6 χμ ΝΑ του Ηρακλείου,5.2
﻿2021/10/20 08:09:28,35.17,25.32,6,2.5,23.7 χμ ΝΑ του Ηρακλείου,6.5
﻿2021/10/20 07:33:16,35.13,25.20,10,3.3,22.9 χμ ΝΝΑ του Ηρακλείου,5.2
﻿2021/10/20 07:02:56,35.19,25.32,8,2.6,23.1 χμ ΝΑ του Ηρακλείου,7.3
﻿2021/10/20 06:56:26,35.17,25.31,13,2.1,23.4 χμ ΝΑ του Ηρακλείου,6.1
﻿2021/10/20 06:47:28,35.18,25.32,14,2.2,23.3 χμ ΝΑ του Ηρακλείου,7.2
﻿2021/10/20 06:02:20,35.17,25.31,9,3.4,23.8 χμ ΝΑ του Ηρακλείου,6.3
﻿2021/10/20 05:58:59,35.16,25.30,12,1.9,24.3 χμ ΝΑ του Ηρακλείου,5.1
﻿2021/10/20 03:50:52,35.17,25.31,14,3.2,24.1 χμ ΝΑ του Ηρακλείου,5.7
﻿2021/10/20 02:44:05,35.18,25.31,12,4.3,23.2 χμ ΝΑ του Ηρακλείου,5.9
﻿2021/10/20 02:40:13,35.16,25.31,11,1.9,24.8 χμ ΝΑ του Ηρακλείου,6.0
﻿2021/10/20 02:04:29,35.14,25.31,13,2.6,25.9 χμ ΝΑ του Ηρακλείου,5.6
﻿2021/10/20 01:42:48,35.17,25.32,13,2.0,24.0 χμ ΝΑ του Ηρακλείου,6.5
﻿2021/10/20 01:31:15,35.16,25.30,12,3.4,24.1 χμ ΝΑ του Ηρακλείου,4.3
﻿2021/10/20 01:29:35,35.17,25.30,12,3.3,23.5 χμ ΝΑ του Ηρακλείου,5.0
﻿2021/10/20 00:18:29,35.18,25.33,15,2.0,24.0 χμ ΝΑ του Ηρακλείου,7.7
﻿2021/10/20 00:08:11,35.17,25.24,18,1.6,19.9 χμ ΝΝΑ του Ηρακλείου,1.6
﻿2021/10/19 21:47:09,35.17,25.31,9,3.2,23.8 χμ ΝΑ του Ηρακλείου,6.1
﻿2021/10/19 21:22:12,35.16,25.32,6,1.6,24.8 χμ ΝΑ του Ηρακλείου,6.3
﻿2021/10/19 20:53:31,35.18,25.32,8,2.1,23.6 χμ ΝΑ του Ηρακλείου,7.6
﻿2021/10/19 20:49:29,35.17,25.31,7,1.7,23.9 χμ ΝΑ του Ηρακλείου,6.0
﻿2021/10/19 20:25:39,35.15,25.24,10,2.2,22.2 χμ ΝΝΑ του Ηρακλείου,1.4
﻿2021/10/19 20:14:57,35.17,25.31,8,3.4,24.3 χμ ΝΑ του Ηρακλείου,6.0
﻿2021/10/19 19:57:51,35.16,25.33,8,2.1,25.7 χμ ΝΑ του Ηρακλείου,7.8
﻿2021/10/19 19:39:06,35.16,25.23,8,1.9,20.8 χμ ΝΝΑ του Ηρακλείου,1.8
﻿2021/10/19 18:48:54,35.17,25.31,8,3.2,23.8 χμ ΝΑ του Ηρακλείου,6.3
﻿2021/10/19 18:36:56,35.16,25.26,12,2.4,21.4 χμ ΝΝΑ του Ηρακλείου,1.4
﻿2021/10/19 18:30:44,35.12,25.26,7,1.1,25.4 χμ ΝΝΑ του Ηρακλείου,4.1
﻿2021/10/19 18:25:17,35.16,25.22,10,1.4,20.4 χμ ΝΝΑ του Ηρακλείου,2.7
﻿2021/10/19 18:22:06,35.13,25.25,5,1.8,23.8 χμ ΝΝΑ του Ηρακλείου,2.7
﻿2021/10/19 17:13:06,35.15,25.20,13,1.9,21.0 χμ ΝΝΑ του Ηρακλείου,4.1
﻿2021/10/19 14:38:09,35.19,25.23,11,1.3,17.8 χμ ΝΝΑ του Ηρακλείου,3.8
﻿2021/10/19 14:14:33,35.15,25.22,9,1.9,21.5 χμ ΝΝΑ του Ηρακλείου,2.6
﻿2021/10/19 14:00:50,35.18,25.26,10,2.4,19.8 χμ ΝΑ του Ηρακλείου,2.9
